
> undead-tower@0.1.0 balance:rogue
> node scripts/evaluate-rogue.mjs --output D:\mydoc\React\undead-tower\.agent\deadline-carl-scratch\rogue-playtest-revision-20260905\iteration-027-evidence\rogue-balance.json --assert

Matrix worker 6: 86 runs in 350.6s
Matrix worker 9: 86 runs in 365.1s
Matrix worker 4: 86 runs in 371.2s
Matrix worker 7: 86 runs in 371.3s
Matrix worker 8: 86 runs in 375.8s
Matrix worker 5: 86 runs in 377.2s
Matrix worker 2: 87 runs in 378.4s
Matrix worker 3: 87 runs in 378.9s
Matrix worker 0: 87 runs in 381.5s
Matrix worker 1: 87 runs in 382.3s
Parallel matrix completed 864 fresh runs with 10 bounded workers
┌─────────┬────────────┬───────────┬─────┬─────┬────────────────────┬─────┬───────────────┬──────────┐
│ (index) │ weapon     │ profile   │ fps │ n   │ mean               │ p10 │ entered50Rate │ censored │
│ 28      │ 'rifle'    │ 'skilled' │ 30  │ 24  │ 24.25              │ 24  │ 0             │ 0        │
│ 29      │ 'p90'      │ 'skilled' │ 30  │ 24  │ 22.708333333333332 │ 18  │ 0             │ 0        │
│ 30      │ 'pistol'   │ 'skilled' │ 30  │ 24  │ 24.041666666666668 │ 24  │ 0             │ 0        │
│ 31      │ 'revolver' │ 'skilled' │ 30  │ 24  │ 22.416666666666668 │ 18  │ 0             │ 0        │
│ 32      │ 'shotgun'  │ 'skilled' │ 30  │ 24  │ 21.125             │ 18  │ 0             │ 0        │
│ 33      │ 'sniper'   │ 'skilled' │ 30  │ 24  │ 20.791666666666668 │ 17  │ 0             │ 0        │
│ 34      │ 'all'      │ 'skilled' │ 30  │ 144 │ 22.555555555555557 │ 18  │ 0             │ 0        │
│ 35      │ 'rifle'    │ 'expert'  │ 30  │ 24  │ 25.875             │ 24  │ 0             │ 0        │
│ 36      │ 'p90'      │ 'expert'  │ 30  │ 24  │ 23.791666666666668 │ 24  │ 0             │ 0        │
│ 37      │ 'pistol'   │ 'expert'  │ 30  │ 24  │ 23.875             │ 24  │ 0             │ 0        │
│ 38      │ 'revolver' │ 'expert'  │ 30  │ 24  │ 22.291666666666668 │ 18  │ 0             │ 0        │
│ 39      │ 'shotgun'  │ 'expert'  │ 30  │ 24  │ 23                 │ 18  │ 0             │ 0        │
│ 40      │ 'sniper'   │ 'expert'  │ 30  │ 24  │ 23.75              │ 24  │ 0             │ 0        │
│ 41      │ 'all'      │ 'expert'  │ 30  │ 144 │ 23.76388888888889  │ 22  │ 0             │ 0        │
└─────────┴────────────┴───────────┴─────┴─────┴────────────────────┴─────┴───────────────┴──────────┘
Wrote D:\mydoc\React\undead-tower\.agent\deadline-carl-scratch\rogue-playtest-revision-20260905\iteration-027-evidence\rogue-balance.json; 382.8 seconds; 0 gaps
